query_idx,gt_rank,score_gap,gt_score,top1_score
1,8,0.1381,0.6811,0.8193
2,5,0.0537,0.5148,0.5686
4,7,0.0624,0.5620,0.6244
5,9,0.1159,0.6595,0.7754
6,15,0.1654,0.3771,0.5424
7,115,0.2215,0.3301,0.5516
8,2,0.0093,0.8571,0.8664
9,46,0.1755,0.3852,0.5607
10,22,0.3013,0.4922,0.7935
15,6,0.0594,0.5592,0.6186
18,50,0.1234,0.4367,0.5602
19,6,0.1028,0.5238,0.6267
20,3,0.0480,0.6452,0.6933
23,4,0.1638,0.4914,0.6552
24,7,0.1865,0.4687,0.6552
28,4,0.0533,0.6049,0.6582
29,10,0.0638,0.4609,0.5248
30,2,0.0515,0.8375,0.8890
31,5,0.0938,0.6322,0.7260
32,2,0.0498,0.7248,0.7745
34,3,0.0319,0.6217,0.6536
37,2,0.0260,0.5719,0.5978
38,2,0.0043,0.8423,0.8466
41,6,0.1947,0.6664,0.8611
42,4,0.2333,0.6293,0.8626
43,3,0.1330,0.7178,0.8508
45,3,0.0483,0.7907,0.8390
46,30,0.1583,0.4671,0.6253
47,38,0.0995,0.3982,0.4977
48,2,0.0045,0.5165,0.5209
49,2,0.0467,0.7752,0.8219
51,45,0.2259,0.4701,0.6960
56,2,0.0677,0.7700,0.8376
57,329,0.3242,0.2952,0.6194
59,2,0.0067,0.7661,0.7728
61,7,0.1501,0.5391,0.6892
62,9,0.1564,0.4451,0.6015
63,97,0.2506,0.4281,0.6786
64,68,0.1926,0.3349,0.5275
67,18,0.1006,0.4744,0.5750
69,6,0.0456,0.5043,0.5499
70,44,0.1708,0.4414,0.6122
71,189,0.2352,0.3240,0.5592
72,92,0.1418,0.3636,0.5055
73,16,0.1080,0.5179,0.6259
74,4,0.1805,0.6290,0.8095
75,4,0.0655,0.4718,0.5374
80,58,0.2748,0.5144,0.7892
82,77,0.2953,0.4869,0.7822
83,2,0.0103,0.5966,0.6069
84,2,0.0683,0.7362,0.8045
85,2,0.0302,0.8077,0.8380
88,2,0.0028,0.8124,0.8152
89,40,0.1717,0.4851,0.6568
90,21,0.1907,0.4649,0.6556
91,4,0.0287,0.8979,0.9266
93,270,0.4344,0.2538,0.6882
94,2,0.0432,0.7525,0.7957
95,2,0.0329,0.6585,0.6914
96,2,0.0295,0.4316,0.4610
97,13,0.1819,0.4284,0.6103
98,2,0.0350,0.6753,0.7103
100,4,0.0377,0.5273,0.5650
101,7,0.0342,0.6010,0.6351
102,7,0.1525,0.5607,0.7131
103,5,0.2006,0.5453,0.7460
105,38,0.3467,0.4794,0.8260
107,2,0.0181,0.8302,0.8483
108,3,0.0367,0.6297,0.6664
109,2,0.0232,0.6186,0.6418
110,3,0.1321,0.7152,0.8474
