combo,mean,median,min,max
ground_truth,10.2,9,2,30
qwen3.5-0.8b/direct,23.2,23,7,49
qwen3.5-0.8b/detailed,33.4,33,15,56
qwen3.5-0.8b/cot,43.0,40.0,6,75
qwen3.5-0.8b/few_shot,10.9,9,3,73
qwen3.5-2b/direct,17.9,17,5,43
qwen3.5-2b/detailed,24.7,24,10,51
qwen3.5-2b/cot,30.8,27,3,74
qwen3.5-2b/few_shot,7.7,7,3,22
qwen3.5-4b/direct,12.8,13,3,27
qwen3.5-4b/detailed,18.1,18,7,49
qwen3.5-4b/cot,29.2,20,1,75
qwen3.5-4b/few_shot,9.2,9,3,24
qwen3.5-9b/direct,12.2,12,3,30
qwen3.5-9b/detailed,18.7,18,6,39
qwen3.5-9b/cot,25.0,20,2,74
qwen3.5-9b/few_shot,11.4,11,3,25
