variant,method,MRR,MRR@10,MAP,MAP@10,R-Precision,Hit@1,Hit@5,Hit@10,Recall@10,Recall@50,Recall@100,NDCG@10,Mean Rank,Median Rank,n_queries,delta_mrr_vs_original
original,tfidf,0.09145570585068111,0.08047476475620187,0.07374929156119149,0.06326076022558058,0.046556886227544905,0.04790419161676647,0.12425149700598802,0.15868263473053892,0.12103293413173652,0.23977045908183636,0.31197604790419164,0.08171911715753051,230.0449101796407,159.0,668,0.0
original,bm25,0.0835372118015685,0.07302121946583025,0.06658083692097581,0.05668736930900105,0.03982035928143713,0.041916167664670656,0.11377245508982035,0.15868263473053892,0.12432634730538922,0.23408183632734528,0.3152195608782435,0.07708630216449601,231.41616766467067,164.0,668,0.0
adj_inj_char_swap_not_shuffled,tfidf,0.0769844484428973,0.06706170991350631,0.06028844422308155,0.05048411114279378,0.03408183632734531,0.038922155688622756,0.10179640718562874,0.15269461077844312,0.11442115768463075,0.22050898203592817,0.2923652694610779,0.06986960559977043,234.9505988023952,166.0,668,-0.014471257407783808
adj_inj_char_swap_not_shuffled,bm25,0.07239957838831891,0.062134659252922726,0.05613018586374212,0.04648084782815322,0.03221057884231537,0.03293413173652695,0.10329341317365269,0.14221556886227546,0.11067864271457087,0.22028443113772453,0.29887724550898204,0.06569325864255503,236.26497005988023,175.5,668,-0.011137633413249595
adj_inj_not_shuffled,tfidf,0.09009303403696498,0.07896765991825871,0.07152538643762507,0.06103634001837594,0.04443612774451097,0.04790419161676647,0.12425149700598802,0.15718562874251496,0.12053393213572852,0.24189121756487023,0.3134730538922156,0.07987482743283938,230.55389221556885,157.5,668,-0.001362671813716132
adj_inj_not_shuffled,bm25,0.08187279298583995,0.07134481037924151,0.06432016154192513,0.05442389031460888,0.03570359281437126,0.038922155688622756,0.11526946107784432,0.15718562874251496,0.12345309381237525,0.23620259481037925,0.31803892215568863,0.07520378142425364,231.38473053892216,166.5,668,-0.001664418815728555
char_swap_not_shuffled,tfidf,0.07787602463870824,0.06838584735291321,0.06212808225558094,0.0526655617336755,0.03595309381237525,0.0374251497005988,0.10778443113772455,0.15718562874251496,0.11791417165668662,0.21826347305389224,0.2933632734530938,0.07232879010330794,235.13922155688624,166.0,668,-0.013579681211972866
char_swap_not_shuffled,bm25,0.07415745196610536,0.06415621138675032,0.05824128951727988,0.04875665335994677,0.035204590818363274,0.03592814371257485,0.10479041916167664,0.1467065868263473,0.11417165668662675,0.22020958083832334,0.29675648702594815,0.06819651611211973,236.2245508982036,174.0,668,-0.009379759835463145
post_inj_not_shuffled,tfidf,0.08985891945893577,0.07889399771884802,0.07237899606141777,0.061843356936919815,0.04600798403193612,0.04790419161676647,0.12425149700598802,0.16167664670658682,0.12245508982035928,0.23712574850299403,0.3092564870259481,0.08097088958954549,227.59580838323353,156.5,668,-0.0015967863917453334
post_inj_not_shuffled,bm25,0.08357074696359311,0.07255429616956563,0.06640459997060888,0.05587803559547572,0.04086826347305389,0.04341317365269461,0.1122754491017964,0.15868263473053892,0.12208083832335329,0.23897205588822354,0.3092814371257485,0.07599727800573451,230.38473053892216,160.5,668,3.353516202460327e-05
pre_inj_not_shuffled,tfidf,0.09059719817244435,0.07995556506035548,0.07285153499890455,0.06253782118303076,0.04775449101796407,0.04940119760479042,0.12425149700598802,0.16167664670658682,0.1222804391217565,0.23949600798403195,0.30451596806387227,0.08145875554526393,229.96407185628743,166.0,668,-0.0008585076782367529
pre_inj_not_shuffled,bm25,0.08171622617862283,0.07097293508221653,0.06466100963282058,0.054388455232392365,0.038248502994011974,0.041916167664670656,0.11077844311377245,0.1601796407185629,0.12257984031936127,0.23962075848303394,0.3112524950099801,0.0750005607941457,230.0808383233533,165.5,668,-0.0018209856229456783
pre_post_adj_not_shuffled,tfidf,0.08534885481907738,0.07399011500807909,0.06727258523083865,0.05642195767195767,0.038647704590818364,0.040419161676646706,0.12125748502994012,0.15718562874251496,0.1189620758483034,0.24159181636726546,0.31339820359281434,0.07612042499461735,227.5988023952096,154.5,668,-0.00610685103160373
pre_post_adj_not_shuffled,bm25,0.08154968954086902,0.07046026993631783,0.06388239694692843,0.05348053892215568,0.035878243512974056,0.040419161676646706,0.1092814371257485,0.15718562874251496,0.12120758483033932,0.24114271457085826,0.3124001996007984,0.07397371012689016,228.311377245509,156.0,668,-0.0019875222606994813
pre_post_char_adj_not_shuffled,tfidf,0.06939757715546808,0.05806363463549091,0.053651724500973115,0.04288642952190856,0.02647205588822355,0.02844311377245509,0.09580838323353294,0.1377245508982036,0.10369261477045906,0.225249500998004,0.293438123752495,0.061361838064380454,232.35179640718562,165.0,668,-0.022058128695213022
pre_post_char_adj_not_shuffled,bm25,0.07118734291292618,0.06034359851725121,0.05349531337786407,0.0432882746411938,0.026846307385229543,0.03293413173652695,0.09580838323353294,0.1407185628742515,0.10693612774451099,0.22098303393213575,0.29767964071856284,0.06263902820885528,233.8068862275449,167.0,668,-0.012349868888642326
